"well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","assay_type","food_conc_OD","food_type","diluent","diluent_concentration_perc","drug","concentration_um","drug_stock_prep_date","drug_prep_method","strain","bleach","well_censor","well_censor_reason","notes","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","titer_WellFlag","n_WellFlag"
"CtDRC1_p001_C07","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C07",20240813,"p001_C07","m2x","20240813-CtDRC1-p001-m2x_C07.TIF",0.91290691033695,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",3.75,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",855.320489603065,777.998792883004,818.774768015582,832.768924476459,856.483498873845,33.7698054281999,884.379976983045,895.775359871351,911.054291719311,0.0394820489380206,24,NA,NA
"CtDRC1_p001_C08","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C08",20240813,"p001_C08","m2x","20240813-CtDRC1-p001-m2x_C08.TIF",0.880789257330776,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",7.5,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",807.463992420293,746.560070703905,760.497231746004,792.917400358345,802.418988093392,36.1633133723113,824.176210805951,856.364756222248,874.92296953625,0.0447862860904984,15,NA,NA
"CtDRC1_p001_C09","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C09",20240813,"p001_C09","m2x","20240813-CtDRC1-p001-m2x_C09.TIF",0.914671577655003,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",15,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",792.274793615105,728.924326410285,734.147431199898,760.271258220258,792.10989709077,39.8621761420318,820.479976625016,839.152118567829,865.136406669993,0.0503135736025917,21,NA,NA
"CtDRC1_p001_C10","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C10",20240813,"p001_C10","m2x","20240813-CtDRC1-p001-m2x_C10.TIF",0.879216867469879,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",30,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",787.153092273044,705.865290444197,725.57910603421,765.387363985621,799.110569249713,41.8620739060128,812.509924776498,836.114826970754,857.338465309025,0.0531816165329779,20,NA,NA
"CtDRC1_p001_C11","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C11",20240813,"p001_C11","m2x","20240813-CtDRC1-p001-m2x_C11.TIF",0.928446771378709,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",60,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",670.665004700988,381.150538889968,554.446165188833,594.738608415531,686.337166496139,99.4333898849672,751.12424440504,766.422364145333,794.176420456982,0.148260889099617,21,NA,NA
"CtDRC1_p001_C12","CtDRC1_1_NIC957_albendazole","CtDRC1","p001","C12",20240813,"p001_C12","m2x","20240813-CtDRC1-p001-m2x_C12.TIF",1.0237881508079,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",120,"2023_11_01","see notion","NIC957",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC957","worm",617.321603772513,490.096096979348,564.595806528996,578.55879661848,608.635717121985,55.7717103225324,639.978504677861,706.026986207886,725.030522836018,0.090344659868869,30,NA,NA
"CtDRC1_p001_D01","CtDRC1_1_NIC993_albendazole","CtDRC1","p001","D01",20240813,"p001_D01","m2x","20240813-CtDRC1-p001-m2x_D01.TIF",1.02620213072272,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0,"2023_11_01","see notion","NIC993",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC993","worm",949.896913935699,863.378398827537,877.731410761389,925.212659810875,969.203061182797,44.8700085137764,986.174000212883,989.793168819595,991.079557028338,0.0472367136428173,14,NA,NA
"CtDRC1_p001_D02","CtDRC1_1_NIC993_albendazole","CtDRC1","p001","D02",20240813,"p001_D02","m2x","20240813-CtDRC1-p001-m2x_D02.TIF",1.28690807799443,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.12,"2023_11_01","see notion","NIC993",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC993","worm",869.190396164424,553.690276625016,727.402546656508,826.519099099739,889.891786943815,128.696398421211,984.446114469968,990.721670618052,998.694335980738,0.148064680637435,14,NA,NA
"CtDRC1_p001_D03","CtDRC1_1_NIC993_albendazole","CtDRC1","p001","D03",20240813,"p001_D03","m2x","20240813-CtDRC1-p001-m2x_D03.TIF",1.12353500158378,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.23,"2023_11_01","see notion","NIC993",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC993","worm",932.224302758037,827.718691137465,858.290833957295,898.140397975249,957.577447449114,53.3697583295189,971.41502076202,983.431064753487,990.587879096015,0.0572499109620094,15,NA,NA
"CtDRC1_p001_D04","CtDRC1_1_NIC993_albendazole","CtDRC1","p001","D04",20240813,"p001_D04","m2x","20240813-CtDRC1-p001-m2x_D04.TIF",1.04872107186358,"48h",10,"HB101_10_11_2023","DMSO",1,"albendazole",0.47,"2023_11_01","see notion","NIC993",1,NA,NA,"assay 1","/vast/eande106/projects/Amanda/projects/cellprofiler-nf/projects/20240813-CtropDRC1-AOS/Analysis-20240819/processed_images/","albendazole_NIC993","worm",964.565576236673,920.079409714066,937.419267104254,947.973020781616,962.794165595563,22.2634947341908,984.363608044375,992.819230170306,997.889267618868,0.02308136977172,24,NA,NA
